Subject	IFG_RH-to-CAUD_RH	IFG_RH-to-PUT_RH	IFG_RH-to-STN_RH	IFG_RH-to-PP_RH	CAUD_RH-to-GPI_RH	PUT_RH-to-GPI_RH	STN_RH-to-GPI_RH
16048	-0.394376	-0.035839	-0.047373	0.50881	0.085592	0.014293	0.017779
16050	0.459716	0.21912	0.987539	0.079544	0.170257	0.064305	0.3847
16052	0.047106	-0.423629	0.068872	0.188866	-0.334126	0.378965	-0.127308
16053	-0.278355	0.120758	-0.760646	-2.41951	0.421762	-0.049362	0.414375
16054	-0.204698	-0.292952	-0.326387	0.111366	0.141163	0.070962	0.065708
16055	-0.509221	-0.404313	-0.173583	0.466616	0.416511	0.171191	0.223329
16058	-0.341019	0.14284	0.345748	0.186914	0.415068	-0.120274	-0.31226
16059	0.26615	-0.027008	-0.534243	-0.38563	0.127233	-0.011645	-0.209159
16063	-0.413185	-0.734149	-0.48802	-1.314139	0.285704	0.517366	0.267144
16065	0.687563	0.80176	1.114123	0.594874	0.051179	-0.019778	0.031366
16066	0.220647	0.3581	0.230703	-0.068632	0.055641	0.080108	0.055243
27004	0.229434	0.29561	0.158051	1.597908	2.028924	-0.78884	-0.245746
27007	0.082434	0.339613	-0.105287	0.841716	-0.033697	-0.117689	0.050051
27008	1.26376	1.394262	-0.654485	1.509717	1.620331	-0.791405	-0.701236
27010	0.573496	1.036517	0.350257	0.940183	0.110551	0.095917	-0.021071
27011	-0.009297	0.001095	-0.000447	0.027965	0.002515	0.002515	0.002515
27012	0.304118	0.593442	0.622749	-0.204719	0.191086	0.215587	0.22927
27014	0.041479	0.096798	0.040303	0.051974	0.002577	0.002577	0.002577
27015	-0.089717	0.450029	0.274763	1.764989	-0.026804	0.254424	0.136625
27018	0.906357	0.213576	0.114279	-1.297887	0.191669	-0.016091	-0.000459
27019	0.349356	0.233019	0.233058	0.137244	0.272882	0.180733	0.177366
27025	0.034515	-0.628988	0.373276	-0.197226	0.086515	-0.136935	0.089278
27026	-0.87444	-0.156238	-0.700218	-0.213801	-0.25077	-0.037505	-0.21196
27027	1.138893	1.533	1.139329	-0.348535	0.180796	0.267079	0.076037
27028	0.005232	0.050827	0.01324	0.007142	0.002787	0.003403	0.002866
27029	-0.727281	-0.805591	-0.394743	-0.914502	0.125773	0.07415	0.04315
27030	0.212286	0.154872	0.244053	0.024632	0.086019	0.066735	0.094749
27034	-0.061867	0.097682	0.019498	0.144145	0.002914	0.002077	0.002482
27035	1.197866	1.280897	0.96169	1.200795	0.255666	0.20812	-0.005306
27036	0.718141	0.500055	1.069453	0.860818	0.288446	0.15958	0.263583
27037	-0.774431	-0.801057	-0.884659	-2.192464	0.084099	0.210595	0.333142
27039	-0.012901	0.2887	0.162681	-0.029014	0.002035	0.029429	0.01868
27040	0.285747	0.371311	0.28239	1.80907	0.378762	0.244447	0.204592
27041	0.492036	-0.257276	0.082045	-0.028275	-0.030906	0.064959	-0.025236
